Manufacturer,Model,Engine size,Fuel type,Year of manufacture, Mileage , Price 
Toyota,RAV4,2.2,Petrol,2007," 124,865 "," 11,476 "
Porsche,718 Cayman,4,Petrol,1994," 338,805 "," 1,042 "
Ford,Fiesta,1,Petrol,1996," 252,736 ", 696 
Ford,Mondeo,2,Diesel,1993," 208,745 "," 1,815 "
VW,Passat,1.8,Diesel,2007," 100,909 "," 11,206 "
VW,Golf,1.6,Diesel,2005," 105,675 "," 7,163 "
VW,Passat,1.4,Diesel,1993," 170,728 "," 2,233 "
Toyota,RAV4,2.4,Hybrid,2010," 87,897 "," 23,121 "
Toyota,RAV4,2,Hybrid,2019," 37,977 "," 53,243 "
VW,Golf,1.6,Petrol,2014," 77,613 "," 15,188 "
Ford,Mondeo,1.8,Diesel,2017," 19,940 "," 34,824 "
Ford,Mondeo,1.8,Petrol,2019," 18,693 "," 38,156 "
Ford,Focus,1.4,Petrol,2008," 125,788 "," 7,962 "
BMW,X3,3,Petrol,2016," 38,143 "," 42,213 "
Porsche,718 Cayman,4,Petrol,2019," 27,291 "," 73,030 "
Porsche,Cayenne,3.5,Petrol,2016," 62,905 "," 53,280 "
Porsche,911,2.6,Petrol,1989," 132,010 "," 6,855 "
Toyota,Yaris,1.2,Petrol,2016," 17,963 "," 20,638 "
Toyota,Prius,1.4,Hybrid,1994," 131,963 "," 3,716 "
Ford,Focus,1.6,Petrol,2005," 106,173 "," 8,091 "
VW,Passat,2,Diesel,2013," 48,603 "," 25,120 "
Porsche,718 Cayman,2,Petrol,2004," 49,475 "," 16,649 "
Toyota,Prius,1.4,Hybrid,2011," 57,915 "," 19,658 "
VW,Polo,2,Petrol,2014," 38,810 "," 18,351 "
VW,Polo,1.4,Petrol,2013," 65,273 "," 12,167 "
VW,Polo,2,Petrol,1997," 174,608 "," 2,171 "
Ford,Fiesta,1,Petrol,1997," 131,665 "," 2,128 "
Ford,Focus,1.4,Petrol,1997," 203,333 "," 2,000 "
BMW,Z4,3,Petrol,1996," 117,585 "," 6,158 "
Toyota,RAV4,2,Hybrid,1991," 274,900 "," 1,219 "
VW,Polo,1.4,Petrol,2006," 14,461 "," 10,338 "
Ford,Mondeo,1.4,Diesel,1998," 140,561 "," 3,784 "
BMW,X3,3,Petrol,2005," 49,008 "," 18,980 "
Ford,Focus,1.6,Diesel,2004," 119,340 "," 7,196 "
Ford,Focus,1,Diesel,2001," 40,683 "," 8,001 "
VW,Polo,1.6,Petrol,2008," 89,242 "," 7,911 "
Ford,Mondeo,1.4,Petrol,1990," 102,538 "," 2,834 "
Toyota,Yaris,1.4,Hybrid,2019," 37,613 "," 29,217 "
Ford,Mondeo,1.6,Diesel,2018," 26,667 "," 33,803 "
VW,Golf,1.6,Petrol,2013," 50,778 "," 16,939 "
Toyota,RAV4,1.8,Petrol,2014," 69,036 "," 24,797 "
VW,Passat,1.8,Diesel,2008," 103,473 "," 11,755 "
Porsche,718 Cayman,2.4,Petrol,1992," 288,189 "," 1,147 "
Ford,Fiesta,1,Petrol,1990," 241,830 ", 516 
VW,Polo,2,Petrol,2003," 55,441 "," 7,956 "
Ford,Fiesta,1.4,Petrol,2012," 58,601 "," 11,582 "
Toyota,Prius,1.4,Hybrid,2019," 31,602 "," 39,343 "
VW,Polo,2,Petrol,2007," 132,970 "," 5,956 "
Toyota,RAV4,2.2,Hybrid,2009," 69,054 "," 23,569 "
Ford,Fiesta,1.4,Petrol,1994," 204,394 "," 1,118 "
BMW,M5,5,Petrol,1986," 341,934 ", 989 
Porsche,718 Cayman,2.4,Petrol,2018," 36,746 "," 50,100 "
VW,Passat,2,Diesel,1994," 160,507 "," 3,109 "
Porsche,911,2.2,Petrol,1998," 107,786 "," 13,840 "
Ford,Fiesta,1,Hybrid,2017," 32,362 "," 19,247 "
Toyota,Prius,1.4,Hybrid,1993," 127,913 "," 3,589 "
Ford,Focus,1.8,Petrol,2009," 74,127 "," 14,072 "
Toyota,Prius,1.4,Hybrid,2019," 33,103 "," 39,001 "
VW,Golf,1.6,Petrol,2010," 127,737 "," 8,046 "
Ford,Focus,1.6,Petrol,1994," 204,213 "," 1,736 "
Ford,Mondeo,2,Hybrid,1991," 208,784 "," 1,815 "
Ford,Focus,2,Petrol,2003," 104,654 "," 8,007 "
VW,Passat,1.6,Diesel,2015," 27,826 "," 29,047 "
Porsche,Cayenne,4,Petrol,1986," 18,500 "," 10,062 "
Toyota,Prius,1,Hybrid,2003," 139,782 "," 5,378 "
Ford,Focus,1,Petrol,2012," 82,388 "," 12,105 "
VW,Polo,1.2,Petrol,2007," 106,018 "," 5,674 "
VW,Polo,1.4,Petrol,2013," 73,965 "," 11,481 "
Ford,Mondeo,2,Diesel,2020," 8,102 "," 47,766 "
VW,Passat,1.8,Diesel,2010," 69,232 "," 17,087 "
VW,Passat,1.4,Diesel,1994," 126,113 "," 3,433 "
VW,Golf,1.2,Petrol,2004," 71,708 "," 7,029 "
Ford,Mondeo,1.6,Diesel,1986," 147,914 "," 1,712 "
Toyota,RAV4,2,Hybrid,2005," 49,802 "," 19,485 "
Toyota,RAV4,1.8,Hybrid,2000," 152,035 "," 6,286 "
Toyota,Prius,1.8,Hybrid,2008," 115,151 "," 12,206 "
Ford,Mondeo,1.8,Diesel,2015," 45,204 "," 26,319 "
VW,Golf,2,Petrol,2003," 132,955 "," 5,414 "
VW,Polo,1.2,Petrol,2003," 123,364 "," 3,809 "
Ford,Fiesta,1,Petrol,2001," 162,091 "," 2,170 "
Toyota,RAV4,1.8,Hybrid,2019," 15,914 "," 57,240 "
Ford,Focus,2,Petrol,2010," 117,125 "," 11,626 "
Ford,Fiesta,1,Diesel,1991," 155,067 "," 1,240 "
Porsche,911,3.5,Petrol,1988," 200,377 "," 4,193 "
VW,Polo,1.2,Diesel,2009," 66,533 "," 8,984 "
BMW,M5,4.4,Petrol,2001," 143,163 "," 15,348 "
Ford,Mondeo,1.6,Diesel,1994," 124,119 "," 3,528 "
Toyota,Yaris,1.4,Petrol,2009," 80,574 "," 9,482 "
Ford,Focus,1,Petrol,2008," 89,600 "," 8,813 "
Toyota,Prius,1,Hybrid,2008," 152,129 "," 6,790 "
Toyota,Yaris,1.4,Hybrid,1996," 345,301 ", 475 
VW,Polo,1.2,Petrol,2013," 57,629 "," 11,837 "
Toyota,Prius,1.8,Hybrid,2017," 50,727 "," 34,800 "
Toyota,RAV4,2,Hybrid,2021," 1,931 "," 74,166 "
BMW,Z4,3,Petrol,1993," 219,466 "," 2,143 "
VW,Passat,2,Petrol,2002," 135,924 "," 6,166 "
VW,Passat,2,Diesel,2021," 15,976 "," 51,739 "
Toyota,RAV4,2,Hybrid,1998," 176,670 "," 4,717 "
Toyota,RAV4,1.8,Petrol,1994," 196,448 "," 2,407 "
Ford,Fiesta,1.4,Hybrid,2002," 145,140 "," 3,787 "
VW,Polo,1,Petrol,1997," 212,313 "," 1,104 "
BMW,M5,4,Petrol,1994," 154,632 "," 8,357 "
VW,Polo,2,Petrol,1998," 167,841 "," 2,458 "
VW,Passat,1.8,Diesel,2021," 13,443 "," 49,756 "
VW,Golf,1.4,Petrol,2016," 22,114 "," 22,919 "
Ford,Mondeo,1.6,Diesel,1993," 198,928 "," 1,771 "
Ford,Fiesta,1,Petrol,2004," 150,579 "," 2,916 "
Ford,Focus,1,Diesel,1992," 131,629 "," 2,323 "
VW,Passat,1.8,Diesel,2003," 142,405 "," 6,233 "
VW,Polo,2,Petrol,2008," 71,907 "," 9,970 "
Ford,Focus,1.4,Petrol,1998," 196,222 "," 2,276 "
Ford,Mondeo,1.4,Diesel,1987," 18,000 "," 4,200 "
Ford,Fiesta,1.2,Petrol,2020," 25,439 "," 22,327 "
Ford,Fiesta,1,Petrol,1988," 319,318 ", 217 
Toyota,RAV4,2,Hybrid,1992," 262,346 "," 1,465 "
Ford,Focus,1,Diesel,2007," 50,008 "," 11,275 "
Ford,Mondeo,2,Diesel,2011," 94,832 "," 15,257 "
VW,Golf,1.4,Diesel,2006," 120,516 "," 6,402 "
BMW,M5,4,Petrol,1998," 40,690 "," 24,830 "
Ford,Fiesta,1,Petrol,2000," 184,638 "," 1,676 "
Ford,Mondeo,1.8,Diesel,2003," 146,836 "," 5,692 "
VW,Polo,1.2,Petrol,2018," 45,210 "," 17,855 "
Ford,Focus,1.6,Petrol,2007," 40,652 "," 14,382 "
BMW,Z4,2.2,Petrol,2006," 121,297 "," 9,982 "
VW,Golf,1.6,Petrol,2008," 54,053 "," 11,890 "
Ford,Focus,1.4,Diesel,1990," 219,612 "," 1,138 "
Ford,Mondeo,2,Hybrid,2002," 224,097 "," 3,294 "
VW,Polo,1,Diesel,2004," 64,664 "," 5,949 "
Toyota,Prius,1.4,Hybrid,2016," 31,651 "," 32,202 "
Ford,Mondeo,2,Diesel,1998," 99,568 "," 6,196 "
Toyota,RAV4,2.2,Hybrid,2004," 112,188 "," 12,424 "
VW,Golf,1.8,Diesel,1999," 126,088 "," 4,360 "
Toyota,Prius,1.8,Hybrid,2021," 7,338 "," 58,229 "
Ford,Fiesta,1.4,Petrol,1991," 208,049 ", 886 
Toyota,Yaris,1.4,Petrol,2009," 55,141 "," 11,225 "
BMW,Z4,2.4,Petrol,2008," 78,350 "," 16,301 "
BMW,M5,5,Petrol,1998," 110,835 "," 17,239 "
VW,Golf,2,Diesel,1994," 185,545 "," 2,016 "
Toyota,Prius,1.4,Hybrid,2011," 78,844 "," 17,106 "
BMW,M5,5,Petrol,1990," 247,869 "," 3,152 "
Toyota,RAV4,2.2,Petrol,2006," 53,178 "," 17,823 "
Ford,Mondeo,1.6,Diesel,2019," 21,862 "," 37,119 "
Toyota,Prius,1,Hybrid,1999," 160,026 "," 3,491 "
VW,Polo,1.4,Petrol,2008," 78,159 "," 7,995 "
VW,Golf,1.2,Diesel,1999," 134,105 "," 3,342 "
BMW,X3,2.4,Diesel,1992," 266,321 "," 1,285 "
BMW,M5,4,Petrol,2012," 98,146 "," 43,070 "
Ford,Focus,1.6,Petrol,2003," 90,450 "," 7,940 "
VW,Polo,1.2,Petrol,1997," 149,503 "," 2,074 "
Ford,Focus,1.8,Diesel,2005," 105,985 "," 9,024 "
VW,Polo,1.4,Petrol,2001," 186,425 "," 2,143 "
Ford,Fiesta,1.2,Petrol,2004," 112,983 "," 4,296 "
Toyota,Prius,1.4,Hybrid,2013," 26,998 "," 27,077 "
Toyota,Prius,1.4,Hybrid,1992," 72,325 "," 5,038 "
Toyota,RAV4,2.2,Hybrid,1994," 153,822 "," 4,590 "
Toyota,RAV4,1.8,Hybrid,2019," 28,746 "," 53,302 "
VW,Polo,1.4,Petrol,2004," 95,027 "," 5,438 "
Porsche,911,2.6,Petrol,1998," 72,648 "," 19,316 "
VW,Golf,1.4,Diesel,2005," 95,259 "," 7,231 "
VW,Polo,1.6,Petrol,2010," 85,568 "," 9,276 "
Ford,Mondeo,1.6,Diesel,2016," 25,073 "," 29,851 "
VW,Polo,1,Petrol,1997," 156,199 "," 1,791 "
Ford,Fiesta,1.2,Petrol,2006," 114,835 "," 4,840 "
VW,Golf,1.6,Petrol,2019," 26,021 "," 29,279 "
Porsche,Cayenne,3.5,Petrol,2016," 54,239 "," 56,331 "
VW,Golf,2,Diesel,2001," 168,120 "," 3,732 "
VW,Golf,2,Petrol,1999," 107,104 "," 5,058 "
VW,Golf,2,Petrol,2012," 44,764 "," 18,387 "
Toyota,Prius,1,Hybrid,2010," 112,916 "," 10,573 "
VW,Passat,1.8,Diesel,1994," 102,944 "," 4,640 "
BMW,Z4,2,Petrol,2011," 87,705 "," 17,029 "
VW,Passat,1.4,Diesel,2001," 82,353 "," 7,563 "
Ford,Fiesta,1,Petrol,2005," 91,598 "," 4,906 "
Ford,Focus,2,Diesel,2000," 130,713 "," 5,640 "
Ford,Fiesta,1,Petrol,1991," 189,443 ", 882 
VW,Passat,1.4,Diesel,2009," 59,622 "," 15,015 "
VW,Golf,1.8,Petrol,2003," 66,459 "," 8,340 "
Toyota,RAV4,2.2,Hybrid,2013," 70,076 "," 30,563 "
VW,Golf,1.8,Petrol,2021," 8,834 "," 38,958 "
Toyota,Yaris,1.4,Petrol,1989," 191,101 "," 1,043 "
Porsche,Cayenne,2.6,Petrol,2001," 114,999 "," 11,684 "
Toyota,Prius,1.8,Hybrid,2021," 18,416 "," 54,895 "
Toyota,Yaris,1.4,Petrol,2015," 24,332 "," 20,133 "
Toyota,Prius,1.8,Hybrid,1994," 173,928 "," 2,985 "
VW,Golf,1.4,Diesel,2001," 178,408 "," 2,861 "
Toyota,Yaris,1.4,Hybrid,2008," 76,234 "," 10,967 "
Ford,Mondeo,1.6,Diesel,2005," 105,643 "," 8,452 "
VW,Polo,1,Petrol,2004," 59,849 "," 5,846 "
Ford,Fiesta,1.2,Petrol,2013," 57,092 "," 11,573 "
VW,Polo,1.2,Petrol,2002," 45,084 "," 6,149 "
BMW,X3,3,Diesel,1995," 175,309 "," 3,977 "
Ford,Mondeo,1.4,Diesel,1999," 212,402 "," 2,193 "
VW,Polo,2,Petrol,2018," 22,135 "," 26,372 "
BMW,Z4,3,Petrol,2022," 4,872 "," 72,101 "
VW,Polo,2,Diesel,2017," 21,232 "," 26,035 "
Toyota,Yaris,1,Petrol,2001," 119,740 "," 3,531 "
BMW,X3,2.4,Diesel,1989," 151,847 "," 2,901 "
Toyota,Prius,1.8,Hybrid,2013," 43,997 "," 27,783 "
VW,Golf,1.4,Petrol,2008," 89,703 "," 8,753 "
BMW,Z4,2,Petrol,2003," 56,515 "," 12,321 "
VW,Golf,1.8,Petrol,2016," 37,038 "," 23,856 "
BMW,Z4,2.2,Petrol,2005," 151,432 "," 7,347 "
Toyota,Yaris,1.4,Hybrid,1987," 206,332 ", 958 
Toyota,RAV4,2.4,Hybrid,1999," 121,471 "," 8,662 "
VW,Polo,2,Petrol,2015," 19,001 "," 21,968 "
Toyota,Prius,1.8,Hybrid,2015," 42,452 "," 32,044 "
Ford,Fiesta,1.2,Petrol,1989," 187,940 ", 857 
Toyota,Prius,1.8,Hybrid,2009," 72,877 "," 17,679 "
Toyota,Prius,1.8,Hybrid,2019," 14,388 "," 49,101 "
Toyota,RAV4,1.8,Hybrid,1998," 178,967 "," 4,388 "
Toyota,Yaris,1,Hybrid,1999," 199,729 "," 1,910 "
VW,Golf,2,Diesel,2012," 98,515 "," 13,461 "
Toyota,Prius,1.8,Hybrid,1990," 246,450 "," 1,199 "
Ford,Fiesta,1,Hybrid,1986," 170,577 ", 892 
Ford,Focus,1.8,Petrol,1995," 224,069 "," 1,648 "
Ford,Mondeo,2,Hybrid,1991," 162,256 "," 2,713 "
Ford,Mondeo,2,Diesel,2016," 52,941 "," 28,265 "
Toyota,Prius,1,Hybrid,2016," 56,100 "," 23,457 "
Ford,Fiesta,1.2,Hybrid,1987," 228,461 ", 628 
BMW,M5,5,Petrol,1998," 249,802 "," 5,279 "
VW,Passat,2,Petrol,2001," 150,693 "," 5,120 "
VW,Passat,1.6,Diesel,1991," 186,784 "," 1,821 "
Ford,Focus,1.4,Petrol,2002," 252,680 "," 1,784 "
Toyota,RAV4,2,Hybrid,2000," 133,271 "," 7,708 "
VW,Polo,1,Petrol,1985," 348,383 ", 138 
VW,Passat,1.8,Petrol,2005," 91,348 "," 10,009 "
VW,Passat,2,Diesel,2016," 69,218 "," 26,873 "
BMW,X3,2.4,Diesel,1998," 161,659 "," 4,875 "
Toyota,Yaris,1.4,Petrol,2000," 179,047 "," 2,410 "
VW,Passat,1.4,Petrol,2002," 126,118 "," 5,573 "
Toyota,RAV4,2.4,Hybrid,2003," 93,163 "," 13,965 "
Ford,Focus,1.6,Petrol,2002," 93,774 "," 7,253 "
VW,Golf,1.2,Petrol,2013," 66,619 "," 13,250 "
Ford,Fiesta,1.4,Hybrid,2002," 104,163 "," 5,205 "
VW,Passat,1.4,Diesel,2000," 132,408 "," 4,874 "
Ford,Focus,1.4,Diesel,2006," 89,172 "," 9,612 "
Ford,Mondeo,2,Diesel,1993," 263,963 "," 1,096 "
Toyota,Yaris,1.2,Petrol,1996," 251,624 ", 893 
Ford,Fiesta,1,Petrol,2018," 18,278 "," 18,560 "
Toyota,Prius,1.4,Hybrid,2012," 91,512 "," 16,731 "
Toyota,RAV4,1.8,Hybrid,2003," 80,134 "," 13,256 "
VW,Passat,1.4,Petrol,2010," 43,246 "," 16,935 "
Ford,Fiesta,1.2,Petrol,2012," 48,201 "," 11,449 "
VW,Polo,1.4,Petrol,2000," 67,511 "," 5,039 "
BMW,M5,5,Petrol,2020," 14,833 "," 139,409 "
BMW,X3,2.4,Diesel,2021," 14,744 "," 63,157 "
Ford,Focus,1.4,Petrol,2021," 14,995 "," 39,590 "
Ford,Mondeo,1.4,Diesel,2005," 131,264 "," 6,498 "
Ford,Fiesta,1,Petrol,2007," 59,513 "," 6,972 "
BMW,X3,2.4,Diesel,1997," 182,669 "," 3,816 "
Toyota,RAV4,2.2,Hybrid,2012," 71,684 "," 28,285 "
Porsche,Cayenne,3,Petrol,2012," 70,346 "," 35,969 "
BMW,X3,2,Diesel,2013," 36,403 "," 29,936 "
Ford,Mondeo,1.6,Diesel,2011," 67,558 "," 16,482 "
VW,Polo,1,Petrol,2018," 17,762 "," 19,102 "
BMW,Z4,2,Petrol,2005," 101,620 "," 10,326 "
Ford,Fiesta,1.4,Petrol,2006," 67,342 "," 7,333 "
VW,Passat,2,Petrol,2015," 67,124 "," 24,278 "
VW,Golf,1.2,Petrol,1989," 196,321 ", 970 
Toyota,Yaris,1.2,Petrol,2001," 105,905 "," 4,294 "
Toyota,Yaris,1,Hybrid,2007," 118,791 "," 6,368 "
Ford,Mondeo,2,Diesel,1990," 251,815 "," 1,005 "
Ford,Fiesta,1.2,Petrol,1995," 224,963 ", 920 
Ford,Fiesta,1,Petrol,1987," 257,930 ", 364 
VW,Passat,1.8,Diesel,1999," 133,797 "," 5,114 "
VW,Golf,1.8,Diesel,1997," 89,167 "," 5,024 "
VW,Polo,2,Petrol,2004," 205,704 "," 2,642 "
Toyota,RAV4,2,Hybrid,2017," 32,283 "," 48,180 "
Ford,Mondeo,1.8,Diesel,2017," 48,586 "," 29,453 "
Ford,Mondeo,2,Diesel,2015," 81,803 "," 21,843 "
VW,Golf,1.2,Diesel,1999," 137,405 "," 3,256 "
VW,Polo,2,Petrol,1997," 201,237 "," 1,723 "
VW,Polo,2,Petrol,2018," 36,937 "," 24,227 "
Toyota,RAV4,2.4,Hybrid,2001," 178,504 "," 6,214 "
Toyota,Yaris,1.4,Hybrid,2012," 64,460 "," 15,492 "
Toyota,Prius,1,Hybrid,1997," 131,201 "," 3,859 "
VW,Golf,1.2,Petrol,2005," 142,040 "," 4,457 "
Toyota,Prius,1.8,Hybrid,2018," 16,684 "," 45,370 "
VW,Polo,1,Petrol,2008," 107,173 "," 5,489 "
BMW,X3,3,Diesel,1990," 177,611 "," 2,794 "
VW,Golf,2,Petrol,1994," 248,282 "," 1,094 "
Toyota,Prius,1.8,Hybrid,2002," 86,059 "," 10,124 "
VW,Golf,1.8,Diesel,1992," 143,262 "," 2,385 "
VW,Passat,1.8,Diesel,2012," 44,222 "," 22,902 "
VW,Golf,2,Hybrid,2006," 77,784 "," 11,940 "
Toyota,RAV4,2,Hybrid,2009," 58,384 "," 24,096 "
Ford,Mondeo,1.4,Diesel,2004," 118,577 "," 6,708 "
Toyota,RAV4,2.2,Petrol,1995," 186,913 "," 3,091 "
Toyota,RAV4,2.2,Hybrid,1999," 185,098 "," 4,919 "
Ford,Fiesta,1.4,Petrol,2018," 46,995 "," 18,587 "
Toyota,RAV4,1.8,Petrol,2016," 19,199 "," 38,362 "
Ford,Mondeo,1.4,Diesel,2000," 194,131 "," 2,755 "
BMW,Z4,2,Petrol,2005," 144,158 "," 7,432 "
Toyota,RAV4,2.4,Hybrid,2016," 73,009 "," 38,229 "
BMW,X3,3,Diesel,1992," 163,827 "," 3,588 "
Ford,Focus,1.6,Diesel,1988," 317,242 ", 428 
Ford,Mondeo,2,Diesel,1993," 219,944 "," 1,642 "
Toyota,Prius,1.8,Hybrid,2007," 66,749 "," 16,118 "
Toyota,RAV4,2.4,Hybrid,2021," 7,912 "," 78,793 "
Ford,Mondeo,1.8,Diesel,2000," 113,452 "," 6,058 "
Toyota,Prius,1.8,Hybrid,1992," 245,314 "," 1,385 "
VW,Golf,1.8,Petrol,2013," 52,930 "," 17,726 "
Ford,Focus,1.8,Hybrid,1993," 216,219 "," 1,858 "
BMW,Z4,2,Petrol,1998," 158,595 "," 4,140 "
VW,Golf,1.8,Petrol,1993," 213,850 "," 1,328 "
VW,Polo,1,Petrol,2001," 182,732 "," 1,869 "
BMW,Z4,3,Petrol,1991," 156,601 "," 3,233 "
Toyota,Yaris,1.4,Petrol,2002," 161,273 "," 3,200 "
BMW,Z4,3,Petrol,1990," 249,463 "," 1,334 "
Ford,Focus,2,Diesel,2007," 174,981 "," 6,254 "
Ford,Focus,1.6,Diesel,2003," 101,195 "," 7,714 "
Toyota,RAV4,2,Hybrid,2005," 72,933 "," 16,770 "
VW,Polo,1.2,Petrol,1994," 287,774 ", 493 
Toyota,RAV4,2.4,Hybrid,2006," 60,517 "," 21,316 "
VW,Golf,2,Petrol,1999," 171,332 "," 3,027 "
Ford,Focus,2,Petrol,2011," 80,384 "," 16,239 "
VW,Golf,1.8,Diesel,1991," 113,108 "," 2,825 "
Toyota,Prius,1.4,Hybrid,2022," 4,634 "," 55,663 "
Ford,Fiesta,1.4,Petrol,2015," 53,149 "," 14,645 "
Toyota,Yaris,1.4,Petrol,2005," 45,577 "," 9,125 "
Ford,Mondeo,2,Diesel,1993," 214,973 "," 1,717 "
VW,Passat,1.8,Diesel,1992," 67,003 "," 5,223 "
Toyota,RAV4,2.4,Hybrid,1996," 161,478 "," 5,142 "
VW,Golf,1.6,Hybrid,2011," 73,047 "," 15,392 "
Ford,Focus,1.6,Petrol,1999," 98,877 "," 5,723 "
Toyota,RAV4,1.8,Hybrid,2015," 50,850 "," 35,769 "
VW,Polo,1.2,Petrol,2003," 145,384 "," 3,199 "
Toyota,Yaris,1,Petrol,2018," 41,469 "," 18,811 "
Ford,Focus,2,Diesel,2021," 15,732 "," 49,488 "
Porsche,Cayenne,3.5,Petrol,2016," 15,286 "," 70,769 "
Ford,Focus,1.8,Petrol,1995," 221,284 "," 1,690 "
VW,Polo,1,Petrol,2007," 120,218 "," 4,652 "
Toyota,Yaris,1,Hybrid,2002," 77,627 "," 6,154 "
VW,Passat,2,Diesel,2007," 72,598 "," 14,418 "
VW,Passat,1.6,Petrol,1997," 189,895 "," 2,518 "
Ford,Mondeo,1.6,Diesel,1987," 417,511 ", 149 
Ford,Focus,1.8,Petrol,2004," 91,430 "," 8,939 "
Ford,Focus,1.4,Petrol,2019," 21,752 "," 33,393 "
VW,Polo,1,Petrol,2005," 159,384 "," 2,975 "
VW,Golf,1.4,Petrol,1990," 124,674 "," 2,032 "
Ford,Mondeo,2,Diesel,2007," 73,587 "," 13,556 "
Ford,Fiesta,1.2,Hybrid,2014," 52,277 "," 15,305 "
Porsche,718 Cayman,4,Petrol,2003," 157,673 "," 9,959 "
BMW,X3,2,Diesel,1990," 162,243 "," 2,598 "
Toyota,Yaris,1.4,Hybrid,1994," 33,095 "," 5,666 "
VW,Passat,1.4,Diesel,1999," 164,878 "," 3,500 "
Porsche,Cayenne,4,Petrol,2019," 26,436 "," 86,890 "
Porsche,Cayenne,3,Diesel,2010," 92,420 "," 28,366 "
Toyota,RAV4,2.4,Hybrid,2010," 49,713 "," 29,805 "
Ford,Mondeo,1.6,Diesel,2005," 104,610 "," 8,517 "
VW,Golf,1.2,Diesel,1992," 224,645 ", 967 
VW,Golf,1.8,Diesel,2012," 60,004 "," 16,644 "
VW,Passat,1.8,Diesel,1994," 184,346 "," 2,409 "
Porsche,911,2.2,Petrol,2008," 128,245 "," 23,053 "
Toyota,Yaris,1.2,Hybrid,2011," 50,768 "," 14,647 "
VW,Polo,1.6,Petrol,2003," 204,943 "," 2,225 "
VW,Golf,2,Petrol,1994," 86,323 "," 4,213 "
VW,Polo,1.4,Petrol,1999," 181,213 "," 1,961 "
Toyota,RAV4,1.8,Hybrid,1996," 183,321 "," 3,699 "
Ford,Mondeo,2,Diesel,2003," 228,856 "," 2,951 "
Ford,Focus,2,Petrol,2002," 96,230 "," 7,967 "
Toyota,RAV4,2.2,Hybrid,2007," 92,875 "," 17,493 "
Toyota,Prius,1.4,Hybrid,2016," 49,401 "," 28,949 "
Toyota,RAV4,2.2,Hybrid,2011," 72,400 "," 26,334 "
Toyota,Yaris,1.4,Hybrid,1994," 192,267 "," 1,729 "
Toyota,Prius,1.4,Hybrid,1994," 248,045 "," 1,361 "
Ford,Focus,1.6,Diesel,2002," 111,257 "," 6,696 "
VW,Golf,1.6,Petrol,2007," 145,676 "," 5,710 "
Porsche,718 Cayman,2,Petrol,2006," 51,807 "," 18,749 "
Ford,Fiesta,1.4,Petrol,2019," 25,920 "," 22,499 "
Ford,Focus,1.6,Petrol,2015," 17,033 "," 28,060 "
Ford,Fiesta,1.4,Petrol,2014," 91,937 "," 10,552 "
Porsche,Cayenne,4,Petrol,2019," 27,575 "," 86,330 "
Toyota,Yaris,1.4,Petrol,1995," 216,026 "," 1,248 "
Toyota,Yaris,1.2,Petrol,2014," 42,579 "," 15,678 "
Ford,Fiesta,1.2,Petrol,1995," 261,355 ", 659 
VW,Passat,2,Diesel,2015," 38,530 "," 30,514 "
Toyota,Yaris,1.2,Hybrid,1999," 159,175 "," 2,962 "
VW,Polo,2,Petrol,2014," 54,466 "," 16,668 "
Toyota,Yaris,1.2,Petrol,2015," 58,966 "," 15,129 "
Toyota,RAV4,1.8,Hybrid,2004," 81,001 "," 14,085 "
Ford,Mondeo,1.8,Diesel,2017," 24,337 "," 33,984 "
Ford,Mondeo,1.4,Petrol,1992," 140,084 "," 2,425 "
Ford,Focus,1,Petrol,1992," 225,544 ", 992 
Ford,Fiesta,1.2,Petrol,2011," 49,238 "," 10,642 "
VW,Passat,1.4,Diesel,2016," 66,275 "," 22,927 "
Ford,Focus,1.6,Petrol,2012," 61,573 "," 17,612 "
Porsche,718 Cayman,2.4,Petrol,2003," 75,402 "," 14,412 "
VW,Golf,1.6,Petrol,1993," 231,379 "," 1,069 "
Toyota,RAV4,2,Hybrid,2018," 13,711 "," 57,117 "
VW,Passat,1.4,Diesel,2008," 75,343 "," 12,657 "
Ford,Fiesta,1.4,Petrol,2006," 44,854 "," 8,462 "
Toyota,RAV4,2,Hybrid,2005," 102,254 "," 13,635 "
Porsche,718 Cayman,4,Petrol,2002," 124,856 "," 12,129 "
VW,Polo,2,Petrol,1998," 140,338 "," 3,082 "
Ford,Fiesta,1.2,Petrol,1994," 123,269 "," 2,038 "
Toyota,RAV4,2,Hybrid,1999," 166,413 "," 5,501 "
Toyota,RAV4,1.8,Hybrid,1990," 235,440 "," 1,560 "
Toyota,Yaris,1.2,Petrol,2004," 98,504 "," 5,538 "
Ford,Focus,1,Petrol,2020," 21,037 "," 30,288 "
Ford,Fiesta,1.4,Petrol,1998," 137,248 "," 2,575 "
Toyota,Prius,1,Hybrid,1991," 121,741 "," 2,785 "
Ford,Mondeo,1.4,Hybrid,2013," 25,271 "," 26,098 "
Toyota,RAV4,2,Hybrid,1992," 127,932 "," 4,716 "
Ford,Fiesta,1.4,Petrol,1999," 226,905 "," 1,276 "
Porsche,911,3.5,Petrol,2020," 20,870 "," 133,521 "
Ford,Focus,2,Petrol,1999," 24,076 "," 10,385 "
Toyota,Prius,1.8,Hybrid,2018," 40,556 "," 39,589 "
VW,Polo,1.6,Petrol,1993," 137,360 "," 2,023 "
BMW,Z4,2.4,Petrol,2017," 57,591 "," 34,088 "
